#      time         order        boil_q_1     boil_q_2     chil_q1      chil_q2      loccool      locheat      qdomwat   
  336.0000000       1.0000       7736.1       0.0000      4.20117E-11   0.0000       0.0000       20958.       0.0000    
  336.0277111       1.0000       7742.4       0.0000      4.20117E-11   0.0000       0.0000       20975.       0.0000    
  336.0554222       1.0000       7747.8       0.0000      4.20117E-11   0.0000       0.0000       20992.       0.0000    
  336.0682198       1.0000       7750.2       0.0000      4.20117E-11   0.0000       0.0000       21000.       0.0000    
  336.0682198       1.0000       7750.2       0.0000      4.20117E-11   0.0000       0.0000       21000.       0.0000    
  336.0903887       1.0000       7753.3       0.0000      4.20117E-11   0.0000       0.0000       21013.       0.0000    
  336.1125575       1.0000       7756.3       0.0000      4.20117E-11   0.0000       0.0000       21026.       0.0000    
  336.1568953       1.0000       7762.4       0.0000      4.20117E-11   0.0000       0.0000       21053.       0.0000    
  336.2455708       1.0000       7774.4       0.0000      4.20117E-11   0.0000       0.0000       21105.       0.0000    
  336.4229219       1.0000       7798.4       0.0000      4.20117E-11   0.0000       0.0000       21204.       0.0000    
  336.7776240       1.0000       7846.1       0.0000      4.20117E-11   0.0000       0.0000       21389.       0.0000    
  337.0000000       1.0000       7875.8       0.0000      4.20117E-11   0.0000       0.0000       21500.       0.0000    
  337.0000000       1.0000       7875.8       0.0000      4.20117E-11   0.0000       0.0000       21500.       0.0000    
  337.2837617       1.0000       7907.4       0.0000      4.20117E-11   0.0000       0.0000       21634.       0.0000    
  337.5675234       1.0000       7936.6       0.0000      4.20117E-11   0.0000       0.0000       21762.       0.0000    
  338.0000000       1.0000       7980.6       0.0000      4.20117E-11   0.0000       0.0000       21944.       0.0000    
  338.0000000       1.0000       7980.6       0.0000      4.20117E-11   0.0000       0.0000       21944.       0.0000    
  338.2270094       1.0000       8003.5       0.0000      4.20117E-11   0.0000       0.0000       22037.       0.0000    
  338.4540187       1.0000       8026.4       0.0000      4.20117E-11   0.0000       0.0000       22127.       0.0000    
  338.9080375       1.0000       8071.8       0.0000      4.20117E-11   0.0000       0.0000       22296.       0.0000    
  339.0000000       1.0000       8081.0       0.0000      4.20117E-11   0.0000       0.0000       22330.       0.0000    
  339.0000000       1.0000       8081.0       0.0000      4.20117E-11   0.0000       0.0000       22330.       0.0000    
  339.3632150       1.0000       8108.5       0.0000      4.20117E-11   0.0000       0.0000       22457.       0.0000    
  339.7264300       1.0000       8133.5       0.0000      4.20117E-11   0.0000       0.0000       22577.       0.0000    
  340.0000000       1.0000       8152.2       0.0000      4.20117E-11   0.0000       0.0000       22665.       0.0000    
  340.0000000       1.0000       8152.2       0.0000      4.20117E-11   0.0000       0.0000       22665.       0.0000    
  340.2001218       1.0000       8150.4       0.0000      4.20117E-11   0.0000       0.0000       22726.       0.0000    
  340.4002436       1.0000       8140.2       0.0000      4.20117E-11   0.0000       0.0000       22784.       0.0000    
  340.4264857       1.0000       8138.8       0.0000      4.20117E-11   0.0000       0.0000       22791.       0.0000    
  340.4789699       1.0000       8136.2       0.0000      4.20117E-11   0.0000       0.0000       22806.       0.0000    
  340.4789699       1.0000       8136.2       0.0000      4.20117E-11   0.0000       0.0000       22806.       0.0000    
  340.6390673       1.0000       8125.4       0.0000      4.20117E-11   0.0000       0.0000       22850.       0.0000    
  340.7991647       1.0000       8114.9       0.0000      4.20117E-11   0.0000       0.0000       22892.       0.0000    
  341.0000000       1.0000       8101.7       0.0000      4.20117E-11   0.0000       0.0000       22944.       0.0000    
  341.0000000       1.0000       8101.7       0.0000      4.20117E-11   0.0000       0.0000       22944.       0.0000    
  341.0334978       1.0000       8099.5       0.0000      4.20117E-11   0.0000       0.0000       22953.       0.0000    
  341.0669955       1.0000       8097.3       0.0000      4.20117E-11   0.0000       0.0000       22962.       0.0000    
  341.0986329       1.0000       8090.2       0.0000      4.20117E-11   0.0000       0.0000       22970.       0.0000    
  341.1209903       1.0000       8085.1       0.0000      4.20117E-11   0.0000       0.0000       22975.       0.0000    
  341.1405617       1.0000       8080.6       0.0000      4.20117E-11   0.0000       0.0000       22980.       0.0000    
  341.1612116       1.0000       8075.8       0.0000      4.20117E-11   0.0000       0.0000       22984.       0.0000    
  341.1798055       1.0000       8071.6       0.0000      4.20117E-11   0.0000       0.0000       22989.       0.0000    
  341.1984890       1.0000       8067.3       0.0000      4.20117E-11   0.0000       0.0000       22993.       0.0000    
  341.2164927       1.0000       8063.1       0.0000      4.20117E-11   0.0000       0.0000       22997.       0.0000    
  341.2347019       1.0000       8058.9       0.0000      4.20117E-11   0.0000       0.0000       23002.       0.0000    
  341.2529417       1.0000       8054.7       0.0000      4.20117E-11   0.0000       0.0000       23006.       0.0000    
  341.2719537       1.0000       8050.4       0.0000      4.20117E-11   0.0000       0.0000       23010.       0.0000    
  341.2926427       1.0000       8045.6       0.0000      4.20117E-11   0.0000       0.0000       23015.       0.0000    
  341.3153501       1.0000       8040.4       0.0000      4.20117E-11   0.0000       0.0000       23020.       0.0000    
  341.3408346       1.0000       8034.5       0.0000      4.20117E-11   0.0000       0.0000       23025.       0.0000    
  341.3695986       1.0000       8027.9       0.0000      4.20117E-11   0.0000       0.0000       23032.       0.0000    
  341.4029150       1.0000       8020.2       0.0000      4.20117E-11   0.0000       0.0000       23039.       0.0000    
  341.4420061       1.0000       8011.2       0.0000      4.20117E-11   0.0000       0.0000       23047.       0.0000    
  341.4891999       1.0000       8000.4       0.0000      4.20117E-11   0.0000       0.0000       23057.       0.0000    
  341.5478014       1.0000       7986.9       0.0000      4.20117E-11   0.0000       0.0000       23070.       0.0000    
  341.6239840       1.0000       7969.4       0.0000      4.20117E-11   0.0000       0.0000       23085.       0.0000    
  341.7273979       1.0000       7945.6       0.0000      4.20117E-11   0.0000       0.0000       23106.       0.0000    
  341.8824781       1.0000       7909.9       0.0000      4.20117E-11   0.0000       0.0000       23136.       0.0000    
  342.0000000       1.0000       7882.9       0.0000      4.20117E-11   0.0000       0.0000       23158.       0.0000    
  342.0000000       1.0000       7882.9       0.0000      4.20117E-11   0.0000       0.0000       23158.       0.0000    
  342.0253099       1.0000       7877.0       0.0000      4.20117E-11   0.0000       0.0000       23163.       0.0000    
  342.0506198       1.0000       7871.2       0.0000      4.20117E-11   0.0000       0.0000       23168.       0.0000    
  342.1012396       1.0000       7848.7       0.0000      4.20117E-11   0.0000       0.0000       23177.       0.0000    
  342.2024792       1.0000       7792.2       0.0000      4.20117E-11   0.0000       0.0000       23192.       0.0000    
  342.4049584       1.0000       7679.1       0.0000      4.20117E-11   0.0000       0.0000       23217.       0.0000    
  342.8099168       1.0000       7452.8       0.0000      4.20117E-11   0.0000       0.0000       23256.       0.0000    
  343.0000000       1.0000       7346.5       0.0000      4.20117E-11   0.0000       0.0000       23273.       0.0000    
  343.0000000       1.0000       7346.5       0.0000      4.20117E-11   0.0000       0.0000       23273.       0.0000    
  343.0343945       1.0000       6590.4       0.0000      4.20117E-11   0.0000       0.0000       72423.       0.0000    
  343.0687890       1.0000       6052.4       0.0000      4.20117E-11   0.0000       0.0000       69958.       0.0000    
  343.1011679       1.0000       5889.2       0.0000      4.20117E-11   0.0000       0.0000       53635.       0.0000    
  343.1334259       1.0000       5922.0       0.0000      4.20117E-11   0.0000       0.0000       41789.       0.0000    
  343.1754230       1.0000       5996.4       0.0000      4.20117E-11   0.0000       0.0000       38298.       0.0000    
  343.2405886       1.0000       5994.7       0.0000      4.20117E-11   0.0000       0.0000       40311.       0.0000    
  343.3211551       1.0000       5936.9       0.0000      4.20117E-11   0.0000       0.0000       41191.       0.0000    
  343.4506229       1.0000       5850.4       0.0000      4.20117E-11   0.0000       0.0000       40536.       0.0000    
  343.6546876       1.0000       5723.0       0.0000      4.20117E-11   0.0000       0.0000       39547.       0.0000    
  344.0000000       1.0000       5540.2       0.0000      4.20117E-11   0.0000       0.0000       38281.       0.0000    
  344.0000000       1.0000       5540.2       0.0000      4.20117E-11   0.0000       0.0000       38281.       0.0000    
  344.0275156       1.0000       5533.2       0.0000      4.20117E-11   0.0000       0.0000       38183.       0.0000    
  344.0550312       1.0000       5526.2       0.0000      4.20117E-11   0.0000       0.0000       38087.       0.0000    
  344.1100624       1.0000       5513.4       0.0000      4.20117E-11   0.0000       0.0000       37901.       0.0000    
  344.2201247       1.0000       5488.5       0.0000      4.20117E-11   0.0000       0.0000       37550.       0.0000    
  344.4402494       1.0000       5438.7       0.0000      4.20117E-11   0.0000       0.0000       36926.       0.0000    
  344.8804989       1.0000       5339.0       0.0000      4.20117E-11   0.0000       0.0000       35902.       0.0000    
  345.0000000       1.0000       5312.0       0.0000      4.20117E-11   0.0000       0.0000       35640.       0.0000    
  345.0000000       1.0000       5312.0       0.0000      4.20117E-11   0.0000       0.0000       35640.       0.0000    
  345.3521996       1.0000       5239.8       0.0000      4.20117E-11   0.0000       0.0000       34965.       0.0000    
  345.7043991       1.0000       5169.3       0.0000      4.20117E-11   0.0000       0.0000       34370.       0.0000    
  346.0000000       1.0000       5110.2       0.0000      4.20117E-11   0.0000       0.0000       33914.       0.0000    
  346.0000000       1.0000       5110.2       0.0000      4.20117E-11   0.0000       0.0000       33914.       0.0000    
  346.2817596       1.0000       5068.1       0.0000      4.20117E-11   0.0000       0.0000       33521.       0.0000    
  346.5635193       1.0000       5030.6       0.0000      4.20117E-11   0.0000       0.0000       33163.       0.0000    
  347.0000000       1.0000       4972.4       0.0000      4.20117E-11   0.0000       0.0000       32683.       0.0000    
  347.0000000       1.0000       4972.4       0.0000      4.20117E-11   0.0000       0.0000       32683.       0.0000    
  347.2254077       1.0000       4946.5       0.0000      4.20117E-11   0.0000       0.0000       32453.       0.0000    
  347.4508154       1.0000       4922.5       0.0000      4.20117E-11   0.0000       0.0000       32240.       0.0000    
  347.9016308       1.0000       4874.4       0.0000      4.20117E-11   0.0000       0.0000       31860.       0.0000    
  348.0000000       1.0000       4863.9       0.0000      4.20117E-11   0.0000       0.0000       31780.       0.0000    
  348.0000000       1.0000       4863.9       0.0000      4.20117E-11   0.0000       0.0000       31780.       0.0000    
  348.3606523       1.0000       4837.1       0.0000      4.20117E-11   0.0000       0.0000       31513.       0.0000    
  348.7213047       1.0000       4813.1       0.0000      4.20117E-11   0.0000       0.0000       31268.       0.0000    
  349.0000000       1.0000       4794.5       0.0000      4.20117E-11   0.0000       0.0000       31090.       0.0000    
  349.0000000       1.0000       4794.5       0.0000      4.20117E-11   0.0000       0.0000       31090.       0.0000    
  349.2885219       1.0000       4790.0       0.0000      4.20117E-11   0.0000       0.0000       30921.       0.0000    
  349.5770437       1.0000       4790.0       0.0000      4.20117E-11   0.0000       0.0000       30764.       0.0000    
  350.0000000       1.0000       4790.0       0.0000      4.20117E-11   0.0000       0.0000       30552.       0.0000    
  350.0000000       1.0000       4790.0       0.0000      4.20117E-11   0.0000       0.0000       30552.       0.0000    
  350.2308175       1.0000       4803.0       0.0000      4.20117E-11   0.0000       0.0000       30446.       0.0000    
  350.4616350       1.0000       4821.5       0.0000      4.20117E-11   0.0000       0.0000       30347.       0.0000    
  350.9232700       1.0000       4858.4       0.0000      4.20117E-11   0.0000       0.0000       30168.       0.0000    
  351.0000000       1.0000       4864.6       0.0000      4.20117E-11   0.0000       0.0000       30139.       0.0000    
  351.0000000       1.0000       4864.6       0.0000      4.20117E-11   0.0000       0.0000       30139.       0.0000    
  351.3693080       1.0000       4902.2       0.0000      4.20117E-11   0.0000       0.0000       30010.       0.0000    
  351.7386160       1.0000       4941.6       0.0000      4.20117E-11   0.0000       0.0000       29891.       0.0000    
  352.0000000       1.0000       4969.5       0.0000      4.20117E-11   0.0000       0.0000       29811.       0.0000    
  352.0000000       1.0000       4969.5       0.0000      4.20117E-11   0.0000       0.0000       29811.       0.0000    
  352.2954464       1.0000       5007.1       0.0000      4.20117E-11   0.0000       0.0000       29728.       0.0000    
  352.5908928       1.0000       5046.5       0.0000      4.20117E-11   0.0000       0.0000       29650.       0.0000    
  353.0000000       1.0000       5101.1       0.0000      4.20117E-11   0.0000       0.0000       29552.       0.0000    
  353.0000000       1.0000       5101.1       0.0000      4.20117E-11   0.0000       0.0000       29552.       0.0000    
  353.2363571       1.0000       5143.8       0.0000      4.20117E-11   0.0000       0.0000       29501.       0.0000    
  353.4727142       1.0000       5191.1       0.0000      4.20117E-11   0.0000       0.0000       29456.       0.0000    
